Field,ID,Type (Type),default,fr-fr,en-us
DesktopScreenshotCaption1,150,Texte,,"Parties détectées dans le client League, prêtes à être importées","Games detected in the League client, ready to import"
DesktopScreenshotCaption2,151,Texte,,Connexion avec votre compte DraftEdge,Sign in with your DraftEdge account
DesktopScreenshotCaption3,152,Texte,,,
DesktopScreenshotCaption4,153,Texte,,,
DesktopScreenshotCaption5,154,Texte,,,
DesktopScreenshotCaption6,155,Texte,,,
DesktopScreenshotCaption7,156,Texte,,,
DesktopScreenshotCaption8,157,Texte,,,
DesktopScreenshotCaption9,158,Texte,,,
DesktopScreenshotCaption10,159,Texte,,,
DesktopScreenshotCaption11,160,Texte,,,
DesktopScreenshotCaption12,161,Texte,,,
DesktopScreenshotCaption13,162,Texte,,,
DesktopScreenshotCaption14,163,Texte,,,
DesktopScreenshotCaption15,164,Texte,,,
DesktopScreenshotCaption16,165,Texte,,,
DesktopScreenshotCaption17,166,Texte,,,
DesktopScreenshotCaption18,167,Texte,,,
DesktopScreenshotCaption19,168,Texte,,,
DesktopScreenshotCaption20,169,Texte,,,
DesktopScreenshotCaption21,170,Texte,,,
DesktopScreenshotCaption22,171,Texte,,,
DesktopScreenshotCaption23,172,Texte,,,
DesktopScreenshotCaption24,173,Texte,,,
DesktopScreenshotCaption25,174,Texte,,,
DesktopScreenshotCaption26,175,Texte,,,
DesktopScreenshotCaption27,176,Texte,,,
DesktopScreenshotCaption28,177,Texte,,,
DesktopScreenshotCaption29,178,Texte,,,
DesktopScreenshotCaption30,179,Texte,,,
MobileScreenshot1,200,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot2,201,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot3,202,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot4,203,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot5,204,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot6,205,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot7,206,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot8,207,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot9,208,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot10,209,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot11,210,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot12,211,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot13,212,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot14,213,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot15,214,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot16,215,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot17,216,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot18,217,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot19,218,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot20,219,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot21,220,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot22,221,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot23,222,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot24,223,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot25,224,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot26,225,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot27,226,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot28,227,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot29,228,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshot30,229,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
MobileScreenshotCaption1,250,Texte,,,
MobileScreenshotCaption2,251,Texte,,,
MobileScreenshotCaption3,252,Texte,,,
MobileScreenshotCaption4,253,Texte,,,
MobileScreenshotCaption5,254,Texte,,,
MobileScreenshotCaption6,255,Texte,,,
MobileScreenshotCaption7,256,Texte,,,
MobileScreenshotCaption8,257,Texte,,,
MobileScreenshotCaption9,258,Texte,,,
MobileScreenshotCaption10,259,Texte,,,
MobileScreenshotCaption11,260,Texte,,,
MobileScreenshotCaption12,261,Texte,,,
MobileScreenshotCaption13,262,Texte,,,
MobileScreenshotCaption14,263,Texte,,,
MobileScreenshotCaption15,264,Texte,,,
MobileScreenshotCaption16,265,Texte,,,
MobileScreenshotCaption17,266,Texte,,,
MobileScreenshotCaption18,267,Texte,,,
MobileScreenshotCaption19,268,Texte,,,
MobileScreenshotCaption20,269,Texte,,,
MobileScreenshotCaption21,270,Texte,,,
MobileScreenshotCaption22,271,Texte,,,
MobileScreenshotCaption23,272,Texte,,,
MobileScreenshotCaption24,273,Texte,,,
MobileScreenshotCaption25,274,Texte,,,
MobileScreenshotCaption26,275,Texte,,,
MobileScreenshotCaption27,276,Texte,,,
MobileScreenshotCaption28,277,Texte,,,
MobileScreenshotCaption29,278,Texte,,,
MobileScreenshotCaption30,279,Texte,,,
XboxScreenshot1,300,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot2,301,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot3,302,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot4,303,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot5,304,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot6,305,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot7,306,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot8,307,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot9,308,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot10,309,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot11,310,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot12,311,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot13,312,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot14,313,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot15,314,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot16,315,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot17,316,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot18,317,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot19,318,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot20,319,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot21,320,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot22,321,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot23,322,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot24,323,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot25,324,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot26,325,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot27,326,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot28,327,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot29,328,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshot30,329,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxScreenshotCaption1,350,Texte,,,
XboxScreenshotCaption2,351,Texte,,,
XboxScreenshotCaption3,352,Texte,,,
XboxScreenshotCaption4,353,Texte,,,
XboxScreenshotCaption5,354,Texte,,,
XboxScreenshotCaption6,355,Texte,,,
XboxScreenshotCaption7,356,Texte,,,
XboxScreenshotCaption8,357,Texte,,,
XboxScreenshotCaption9,358,Texte,,,
XboxScreenshotCaption10,359,Texte,,,
XboxScreenshotCaption11,360,Texte,,,
XboxScreenshotCaption12,361,Texte,,,
XboxScreenshotCaption13,362,Texte,,,
XboxScreenshotCaption14,363,Texte,,,
XboxScreenshotCaption15,364,Texte,,,
XboxScreenshotCaption16,365,Texte,,,
XboxScreenshotCaption17,366,Texte,,,
XboxScreenshotCaption18,367,Texte,,,
XboxScreenshotCaption19,368,Texte,,,
XboxScreenshotCaption20,369,Texte,,,
XboxScreenshotCaption21,370,Texte,,,
XboxScreenshotCaption22,371,Texte,,,
XboxScreenshotCaption23,372,Texte,,,
XboxScreenshotCaption24,373,Texte,,,
XboxScreenshotCaption25,374,Texte,,,
XboxScreenshotCaption26,375,Texte,,,
XboxScreenshotCaption27,376,Texte,,,
XboxScreenshotCaption28,377,Texte,,,
XboxScreenshotCaption29,378,Texte,,,
XboxScreenshotCaption30,379,Texte,,,
HolographicScreenshot1,400,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot2,401,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot3,402,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot4,403,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot5,404,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot6,405,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot7,406,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot8,407,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot9,408,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot10,409,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot11,410,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot12,411,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot13,412,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot14,413,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot15,414,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot16,415,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot17,416,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot18,417,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot19,418,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot20,419,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot21,420,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot22,421,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot23,422,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot24,423,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot25,424,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot26,425,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot27,426,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot28,427,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot29,428,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshot30,429,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
HolographicScreenshotCaption1,450,Texte,,,
HolographicScreenshotCaption2,451,Texte,,,
HolographicScreenshotCaption3,452,Texte,,,
HolographicScreenshotCaption4,453,Texte,,,
HolographicScreenshotCaption5,454,Texte,,,
HolographicScreenshotCaption6,455,Texte,,,
HolographicScreenshotCaption7,456,Texte,,,
HolographicScreenshotCaption8,457,Texte,,,
HolographicScreenshotCaption9,458,Texte,,,
HolographicScreenshotCaption10,459,Texte,,,
HolographicScreenshotCaption11,460,Texte,,,
HolographicScreenshotCaption12,461,Texte,,,
HolographicScreenshotCaption13,462,Texte,,,
HolographicScreenshotCaption14,463,Texte,,,
HolographicScreenshotCaption15,464,Texte,,,
HolographicScreenshotCaption16,465,Texte,,,
HolographicScreenshotCaption17,466,Texte,,,
HolographicScreenshotCaption18,467,Texte,,,
HolographicScreenshotCaption19,468,Texte,,,
HolographicScreenshotCaption20,469,Texte,,,
HolographicScreenshotCaption21,470,Texte,,,
HolographicScreenshotCaption22,471,Texte,,,
HolographicScreenshotCaption23,472,Texte,,,
HolographicScreenshotCaption24,473,Texte,,,
HolographicScreenshotCaption25,474,Texte,,,
HolographicScreenshotCaption26,475,Texte,,,
HolographicScreenshotCaption27,476,Texte,,,
HolographicScreenshotCaption28,477,Texte,,,
HolographicScreenshotCaption29,478,Texte,,,
HolographicScreenshotCaption30,479,Texte,,,
SurfaceHubScreenshot11,510,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot12,511,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot13,512,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot14,513,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot15,514,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot16,515,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot17,516,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot18,517,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot19,518,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot20,519,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot21,520,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot22,521,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot23,522,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot24,523,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot25,524,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot26,525,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot27,526,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot28,527,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot29,528,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshot30,529,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
SurfaceHubScreenshotCaption11,560,Texte,,,
SurfaceHubScreenshotCaption12,561,Texte,,,
SurfaceHubScreenshotCaption13,562,Texte,,,
SurfaceHubScreenshotCaption14,563,Texte,,,
SurfaceHubScreenshotCaption15,564,Texte,,,
SurfaceHubScreenshotCaption16,565,Texte,,,
SurfaceHubScreenshotCaption17,566,Texte,,,
SurfaceHubScreenshotCaption18,567,Texte,,,
SurfaceHubScreenshotCaption19,568,Texte,,,
SurfaceHubScreenshotCaption20,569,Texte,,,
SurfaceHubScreenshotCaption21,570,Texte,,,
SurfaceHubScreenshotCaption22,571,Texte,,,
SurfaceHubScreenshotCaption23,572,Texte,,,
SurfaceHubScreenshotCaption24,573,Texte,,,
SurfaceHubScreenshotCaption25,574,Texte,,,
SurfaceHubScreenshotCaption26,575,Texte,,,
SurfaceHubScreenshotCaption27,576,Texte,,,
SurfaceHubScreenshotCaption28,577,Texte,,,
SurfaceHubScreenshotCaption29,578,Texte,,,
SurfaceHubScreenshotCaption30,579,Texte,,,
StoreLogo720x1080,600,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
StoreLogo1080x1080,601,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,store-listing/images/logo1080.png,store-listing/images/logo1080.png
StoreLogo300x300,602,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,store-listing/images/logo300.png,store-listing/images/logo300.png
OverrideLogosForWin10,603,True/False,,,
StoreLogoOverride150x150,604,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
StoreLogoOverride71x71,605,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
PromoImage1920x1080,606,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
PromoImage2400x1200,607,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxBrandedKeyArt584x800,608,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxTitledHero1920x1080,609,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
XboxFeaturedPromo1080x1080,610,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
OptionalPromo358x358,611,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
OptionalPromo1000x800,612,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
OptionalPromo414x180,613,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Feature1,700,Texte,,Détection automatique du client League of Legends,Automatic League of Legends client detection
Feature2,701,Texte,,Import des scrims en un clic,One-click scrim import
Feature3,702,Texte,,Choix des parties et du bloc de scrim,Pick games and their scrim block
Feature4,703,Texte,,Suivi des parties déjà importées,Track already imported games
Feature5,704,Texte,,Connexion sécurisée à votre compte DraftEdge,Secure DraftEdge sign-in
Feature6,705,Texte,,,
Feature7,706,Texte,,,
Feature8,707,Texte,,,
Feature9,708,Texte,,,
Feature10,709,Texte,,,
Feature11,710,Texte,,,
Feature12,711,Texte,,,
Feature13,712,Texte,,,
Feature14,713,Texte,,,
Feature15,714,Texte,,,
Feature16,715,Texte,,,
Feature17,716,Texte,,,
Feature18,717,Texte,,,
Feature19,718,Texte,,,
Feature20,719,Texte,,,
MinimumHardwareReq1,800,Texte,,Client League of Legends installé,League of Legends client installed
MinimumHardwareReq2,801,Texte,,Connexion Internet,Internet connection
MinimumHardwareReq3,802,Texte,,,
MinimumHardwareReq4,803,Texte,,,
MinimumHardwareReq5,804,Texte,,,
MinimumHardwareReq6,805,Texte,,,
MinimumHardwareReq7,806,Texte,,,
MinimumHardwareReq8,807,Texte,,,
MinimumHardwareReq9,808,Texte,,,
MinimumHardwareReq10,809,Texte,,,
MinimumHardwareReq11,810,Texte,,,
RecommendedHardwareReq1,850,Texte,,,
RecommendedHardwareReq2,851,Texte,,,
RecommendedHardwareReq3,852,Texte,,,
RecommendedHardwareReq4,853,Texte,,,
RecommendedHardwareReq5,854,Texte,,,
RecommendedHardwareReq6,855,Texte,,,
RecommendedHardwareReq7,856,Texte,,,
RecommendedHardwareReq8,857,Texte,,,
RecommendedHardwareReq9,858,Texte,,,
RecommendedHardwareReq10,859,Texte,,,
RecommendedHardwareReq11,860,Texte,,,
SearchTerm1,900,Texte,,league of legends,league of legends
SearchTerm2,901,Texte,,scrim,scrim
SearchTerm3,902,Texte,,esport,esports
SearchTerm4,903,Texte,,draft,draft
SearchTerm5,904,Texte,,coaching,coaching
SearchTerm6,905,Texte,,lol,lol
SearchTerm7,906,Texte,,analyse,analytics
TrailerToPlayAtTopOfListing,999,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer1,1000,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer2,1001,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer3,1002,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer4,1003,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer5,1004,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer6,1005,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer7,1006,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer8,1007,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer9,1008,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer10,1009,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer11,1010,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer12,1011,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer13,1012,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer14,1013,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
Trailer15,1014,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerTitle1,1020,Texte,,,
TrailerTitle2,1021,Texte,,,
TrailerTitle3,1022,Texte,,,
TrailerTitle4,1023,Texte,,,
TrailerTitle5,1024,Texte,,,
TrailerTitle6,1025,Texte,,,
TrailerTitle7,1026,Texte,,,
TrailerTitle8,1027,Texte,,,
TrailerTitle9,1028,Texte,,,
TrailerTitle10,1029,Texte,,,
TrailerTitle11,1030,Texte,,,
TrailerTitle12,1031,Texte,,,
TrailerTitle13,1032,Texte,,,
TrailerTitle14,1033,Texte,,,
TrailerTitle15,1034,Texte,,,
TrailerThumbnail1,1040,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
TrailerThumbnail2,1041,Chemin d'accès relatif (ou URL à consigner dans l'Espace partenaires),,,
